Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
932	8007	Wilson, Justin	BOS	P	750.07	737	737		1		
933	11780	Chaparro, Andres	WAS	1B	750.07	737	737		1		
934	11951	Triantos, James	CHC	2B	750.13	738	738	-112.13	1	Cleveland Dustmites	638
935	12122	Bigge, Hunter	TB	P	750.20	742	748		2		
936	10604	Mattson, Isaac	PIT	P	750.20	739	739		1		
937	10267	Robinson, Kristian	ARZ	OF	750.20	739	739		1		
938	12291	Santos, Winston	TEX	P	750.40	742	742		1		
939	11808	Bido, Osvaldo	ATL	P	750.40	742	742		1		
940	12610	Wood, Gage	PHI	P	750.40	746	747		2		
941	10487	Sborz, Josh	TEX	P	750.47	743	743		1		
942	12612	King, Seaver	FA	SS	750.47	743	743		1		
943	12542	Velazquez , Ralphy	CLE	1B	750.53	744	744		1		
944	10501	Herget, Jimmy	COL	P	750.53	747	748		2		
945	11379	Bautista, Felix	BAL	P	750.60	745	745		1		
946	12225	Yoho, Craig	MLW	P	750.73	747	747		1		
947	12611	Bremner, Tyler	FA	P	750.73	747	747		1		
948	9295	Marquez, German	COL	P	750.80	748	748		1		
949	9886	Alzolay, Adbert	CHC	P	750.80	748	748		1		
950	9937	Fernandez, Julian	WAS	P	750.93	750	750		1		
